Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
conta - Bloqueio Judicial,"Sinais de Alerta: Cliente alega que recebeu um valor que não aparece no extrato, ou que um valor sumiu.

A mensagem de erro ""HOUVE UM ERRO AO BUSCAR DETALHES DA TRANSFERÊNCIA"" também pode indicar isso.

Procedimento: Solicitar o extrato completo da conta ao time de suporte interno.

Ao confirmar o bloqueio, encaminhar o extrato ao cliente.

Informar que no documento haverá um número de processo judicial, que ele pode usar para consultar a origem do bloqueio junto ao órgão responsável.","bloqueio, conta, erro, extrato, judicial, transferência",,,"Conta bloqueio judicial, acesso, erro, extrato, extrato bloqueado, judicial bloqueio Conta, pane, transferência",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
conta - Saldo Insuficiente,"Causa Provável: Erro de sincronização no aplicativo (o saldo existe, mas o app não o exibe corretamente).

Solução Imediata: Orientar o cliente a limpar o cache e os dados do aplicativo (ou reinstalar).

Isso geralmente força uma nova sincronização e corrige o problema. (Ação Interna): Registrar um ticket para o time de Produto com os dados do cliente para correção definitiva do bug.","Velotax - Saldo Insuficiente, conta, insuficiente, saldo, sincronização, transferência",,,"Conta saldo insuficiente, login, sincronizacao saldo, sincronização, transferencia insuficiente, transferência, velotax - saldo insuficiente",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
Veloprime - Ações no Exterior,"<b>Consolidação:</b> O Veloprime consolida automaticamente movimentações de ativos no exterior em plataformas integradas, como a Warren, gerando relatórios prontos para o IRPF e pagamento de tributos.<br><br><b>Tributação sobre Lucro na Venda (Ganhos de Capital):</b><br>• <b>Apuração:</b> Centraliza movimentações e apura ganhos de capital automaticamente.<br>• <b>Relatório:</b> Substitui o preenchimento manual do GCAP.<br>• <b>Alíquota:</b> 15% sobre o ganho de capital.<br>• <b>Câmbio:</b> Conversão pela cotação oficial do dólar do Banco Central na data da operação.<br><br><b>Tributação sobre Dividendos Recebidos no Exterior:</b><br>• <b>Apuração:</b> Dividendos são consolidados em relatório mensal.<br>• <b>Pagamento:</b> Dados usados no Carnê-Leão com tabela progressiva (até 27,5%).<br><br><b>Tributação sobre Aplicações Financeiras no Exterior (Lei 14.754/2023):</b><br>• <b>Apuração:</b> Rendimentos capturados automaticamente via integração (ex.: Warren).<br>• <b>Alíquota:</b> 15% sobre rendimentos disponibilizados.<br>• <b>Pagamento:</b> Declaração nas fichas correspondentes do IRPF.<br><br><b>Tributação sobre Entidades Controladas (Offshores, Trusts):</b><br>• <b>Apuração:</b> Lucros apurados em 31/12 consolidados em relatório.<br>• <b>Alíquota:</b> 15% sobre o lucro anual, independentemente de distribuição.<br>• <b>Pagamento:</b> Recolhimento no Brasil, mesmo sem remessa do valor.","BDR, EUA, GCAP, carnê-leão, câmbio, dividendos, dólar, ganho de capital, imposto, internacional, off shore, offshore, stocks, tributação",,,"bdr, carnê-leão, câmbio, dividendos, dólar, eua, ganho de capital, gcap, gcap dividendos, imposto, internacional, off shore, offshore, stocks, stocks internacional, tributacao exterior, tributação, veloprime acoes exterior",Cadastro e APP > Aplicativo > Acesso > Acesso,,
Veloprime - Bolsa de Valores (B3),"Regra de Isenção:

 A isenção de imposto sobre o lucro se aplica apenas se o valor total das vendas de ações em operações comuns for inferior a R$

20.000,00 no mesmo mês.

Alíquotas de Imposto (Quando não há isenção):

 Operações Comuns (venda em dias diferentes da compra): 15% sobre o lucro.

 Day Trade (compra e venda no mesmo dia): 20% sobre o lucro.

Pagamento:

 O imposto sobre o lucro deve ser pago via DARF mensal até o último dia útil do mês seguinte à operação.","15%, 20 mil, 20%, Ações, Bovespa, day trade, ganho de capital, imposto, isenção, mercado de ações, operações comuns, tributação",,,"15%, 20 mil, 20%, ações, bovespa, bovespa tributacao, day trade, day trade b3, ganho de capital, imposto, imposto acoes, isenção, mercado de ações, operações comuns, tributação, veloprime bolsa b3",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
Veloprime - Como cancelar a recorrencia,"[
  {
    ""title"": ""1. Entendendo o Modelo de Planos Velotax"",
    ""content"": ""Conceito do Plano: Os planos são um serviço único anual, cujo valor total é dividido em 12 parcelas mensais.\n\nDiferença Chave: Não é uma assinatura mensal tradicional, mas sim um parcelamento de um contrato anual.\n\nRecorrência: É a renovação automática do plano após o término do ciclo de 12 meses. Cancelar a recorrência impede a próxima renovação, mas não cancela as parcelas do contrato vigente.""
  },
  {
    ""title"": ""2. Como Orientar o Cliente a Cancelar a Recorrência"",
    ""content"": ""Caminho na Plataforma:\n1. Acessar a conta e selecionar a opção \""Conta\"".\n2. Localizar a seção \""Dados do Plano\"".\n3. Clicar na opção para cancelar a recorrência.\n4. Importante: Clicar em \""Salvar\"" para confirmar a alteração.""
  },
  {
    ""title"": ""3. Ação Interna (Baseado no Status da Recorrência)"",
    ""content"": ""Cenário A (Recorrência \""Desativada\""): Informar ao cliente que a renovação automática já está cancelada e que não haverá novas cobranças após o fim do contrato atual.\n\nCenário B (Recorrência \""Ativa\""): Utilizar a macro correspondente para enviar as instruções: \""Cancelamento Recorrência Velotax\"" ou \""Cancelamento Recorrência XP\"".""
  }
]","Cancelar recorrência, alterar pagamento, anuidade, assinatura, cancelar plano, cobrança automática, contrato anual, dados do plano, desativar, interromper cobrança, mensalidade, parcelamento, renovação automática",,,"alterar pagamento, anuidade, assinatura, assinatura cancelar, cancelar plano, cancelar recorrência, cobrança automática, contrato anual, dados do plano, desativar, interromper cobrança, mensalidade, parcelamento, renovacao automatica cancelar, renovação automática, veloprime cancelar recorrencia",,Empréstimos > Antecipação > Taxas e Juros > Valor de Taxas,
Veloprime - Escalar para N2,"Cenário de Aplicação: Utilize este processo para erros de origem desconhecida ou qualquer problema que necessite de uma investigação técnica aprofundada.

Procedimento de Escalonamento: Passo 1 (No Ticket): No menu ""Escalar Chamado"", selecione a opção ""N2

- Suporte Técnico"".

Passo 2 (Documentação): Faça uma anotação interna o mais detalhada possível.

Inclua todas as informações relevantes, prints do erro e arquivos necessários para a análise.

Passo 3 (Comunicação): Envie um e-mail ao cliente informando que um ticket foi aberto para o suporte técnico e que o prazo para retorno é de até 7 dias úteis.

Passo 4 (Status do Ticket): Mantenha o ticket com o status ""Em aberto"" para acompanhamento.","abrir chamado, análise técnica, bug, casos especiasi, erro desconhecido, escalonamento, falha, investigação, nivel 2, problema, suporte técnico, time de produto",,,"abrir chamado, análise técnica, bug, casos especiais, casos especiasi, erro desconhecido, escalonamento, escalonamento veloprime, falha, investigação, nivel 2, problema, suporte tecnico n2, suporte técnico, time de produto, veloprime escalar n2",Empréstimos > Antecipação > Produtos de Crédito > Contestação contratação,,
Veloprime - Fundos Imobiliários (FIIs),"Tributação sobre Rendimentos (Aluguéis): Regra: Os rendimentos mensais distribuídos pelos FIIs são isentos de Imposto de Renda para pessoas físicas.

Tributação sobre o Lucro na Venda das Cotas: Regra: Não há isenção.

Qualquer lucro obtido na venda de cotas de FIIs é tributável.

Alíquota: 20% sobre o ganho de capital.

Pagamento: O imposto deve ser pago via DARF até o último dia útil do mês seguinte à venda.","20%, aluguéis, ganho de capital, imposto, isenção, lucro, rendimentos, tributação, venda de cotas",,,"20%, aluguéis, fundos imobiliarios, ganho de capital, imposto, isenção, lucro, rendimentos, rendimentos fiis, tributacao fiis, tributação, veloprime fiis, venda de cotas",Cadastro e APP > Aplicativo > Acesso > Acesso,,
Veloprime - Não reconhece a cobrança,"Contexto: O cliente questiona uma cobrança que ele acredita ser da ""Veloprime"".

Diagnóstico e Ação: Verificação Interna: Consulte no sistema os detalhes do plano que o cliente contratou.

Análise: A contratação da Veloprime pode incluir diferentes funcionalidades e planos, cada um com seu respectivo valor.

Orientação: Com base nos detalhes do plano do cliente, explique a qual serviço ou funcionalidade a cobrança se refere","cobrança, não, plano, reconhece, veloprime",,,"cobranca desconhecida veloprime, fatura, plano, veloprime nao reconhece cobranca",Cadastro e APP > Aplicativo > Acesso > Acesso,,
"	
Veloprime - Opções ","[
  {
    ""title"": ""1. O que são Opções? (Conceito Fundamental)"",
    ""content"": ""Definição: Opções são contratos que dão ao comprador (titular) o direito de comprar ou vender um ativo (como uma ação) por um preço fixo (strike) até uma data futura (vencimento).\n\nTipos de Opção:\n CALL (Opção de Compra): Dá o direito de comprar o ativo.\n PUT (Opção de Venda): Dá o direito de vender o ativo.""
  },
  {
    ""title"": ""2. Como o Lucro Acontece? (Principais Cenários)"",
    ""content"": ""Cenário A (Compra e Venda da Opção): O investidor compra uma opção e a vende por um preço (prêmio) maior antes do vencimento. O lucro é a diferença entre os preços.\n\nCenário B (Exercício da Opção): O titular exerce seu direito de comprar ou vender o ativo pelo preço de strike, lucrando com a diferença em relação ao preço de mercado.\n\nCenário C (Venda Coberta - Lançador): O investidor vende uma opção e, se o comprador não a exercer, seu lucro é o valor do prêmio recebido.""
  },
  {
    ""title"": ""3. Como Funciona a Tributação?"",
    ""content"": ""Regra Principal: O mercado de opções não possui nenhum tipo de isenção. Todo e qualquer lucro, por menor que seja, é tributável.\n\nAlíquotas de Imposto sobre o Lucro:\n Operações Comuns (Swing Trade): 15% sobre o lucro líquido.\n Day Trade (compra e venda no mesmo dia): 20% sobre o lucro líquido.\n\nPagamento: O imposto deve ser calculado e o DARF deve ser pago até o último dia útil do mês seguinte ao da operação que gerou o lucro.""
  }
]","15%, 20%, call, day trade, derivativos, exercício, ganho de capital, imposto, lançador, mercado de opções, prêmio, put, strike, titular, tributação, venda coberta, virar pó",,,"15%, 20%, call, day trade, derivativos, descricao velopro, exercício, ganho de capital, imposto, lançador, mercado de opções, o que e velopro, prêmio, put, strike, titular, tributação, veloprime velopro, venda coberta, virar pó",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
Veloprime - O que é Velopro,"Definição: É a versão da Velotax voltada para contadores e assessores de investimentos.

Função: Permite que esses profissionais gerenciem as obrigações fiscais de seus clientes de forma centralizada.","veloprime, velopro",,,"call, darf, day trade, derivativos, exercicio, ganho capital, imposto, lancador, mercado opcoes, opcoes, premio, put, strike, titular, tributacao, venda coberta, virar po",Empréstimos > Antecipação > Elegibilidade > Inelegível / Fora do perfil,,
Veloprime - Pagamento,"[
  {
    ""title"": ""Explicação dos Planos Veloprime"",
    ""content"": ""Os planos Veloprime são contratados como um plano anual, pago via PIX ou cartão de crédito. No caso do cartão, o valor é dividido em 12 parcelas para maior viabilidade ao cliente.""
  },
  {
    ""title"": ""Política de Cancelamento"",
    ""content"": ""Não é possível cancelar o plano após o período de 7 dias de arrependimento estipulado pelo Código de Defesa do Consumidor.""
  },
  {
    ""title"": ""Motivo da Política"",
    ""content"": ""O plano não é cobrado como uma assinatura de mensalidades, mas sim como um pagamento único (anual) que foi dividido em 12 vezes no cartão do cliente.""
  }
]","cancelar plano, estorno, pagamento, quer cancelar, veloprime",,,"cancelar plano, estorno, formas pagamento plano, pagar veloprime, quer cancelar, veloprime pagamento",,,
Veloprime - Planos,"[ { ""title"": ""Plano Basic"", ""content"": ""Valor: R$ 25,90 por mês no plano anual.\n\nIdeal para quem começou a investir agora.\n\nInclui:\n Cálculos automáticos de IR\n Emissão de DARF do mês corrente."" }, { ""title"": ""Plano Premium"", ""content"": ""Valor: R$ 59,90 por mês no plano anual.\n\nIdeal para quem investe com maior frequência.\n\nInclui tudo do Basic, mais:\n DARFs retroativas ilimitadas\n Carteira de investimentos atualizada\n Notificações de dividendos\n Lembrete de impostos\n Informes de rendimento em PDF."" }, { ""title"": ""Plano Concierge"", ""content"": ""Valor: R$ 79,90 por mês no plano anual.\n\nIdeal para quem não quer ter nenhum trabalho.\n\nInclui tudo do Premium, mais:\n Especialista dedicado\n DARFs revisadas por profissional\n Contato por WhatsApp exclusivo."" } ]","Basic, Concierge, Premium, anual, investimentos, notificações, preço",,,"anual, assinatura planos, basic, basic premium concierge, concierge, investimentos, notificações, preco planos, premium, preço, veloprime planos",,,
Veloprime - Gratuito,"Orientar o cliente da seguinte forma: • Informar que o cliente pode testar o Veloprime gratuitamente, sem custo inicial. • Explicar que, para emitir DARFs, está disponível o Plano Básico, no valor de R$ 25,90. • Reforçar que esse plano é a forma indicada para o cliente começar a organizar a vida fiscal com agilidade, segurança e simplicidade.","emissão darf, experimentar, grátis, plano básico, solução fiscal, teste grátis",,,"emissão darf, experimentar, grátis, plano básico, sem custo, solução fiscal, teste grátis",,,
Posso calcular DARF de anos anteriores?,"Orientar o cliente da seguinte forma: • Confirmar que é possível calcular DARFs de anos anteriores, a partir de

2020. • Informar que o cliente pode importar os dados da B3 de anos passados para realizar a apuração. • Reforçar que a funcionalidade auxilia na regularização da situação fiscal de períodos anteriores.","anos passados, apuração retroativa, darf 2020, darf anos anteriores, importar b3",,,"anos passados, apuração retroativa, darf 2020, darf anos anteriores, importar b3",,,
"Qual a diferença prática entre CDB, LCI e LCA?","Orientar o cliente da seguinte forma:• CDB é título de renda fixa emitido por bancos, com tributação de IR.• LCI e LCA também são emitidos por bancos, mas isentos de IR para pessoa física.• Na prática, CDB costuma ter maior variedade de prazos e taxas; LCI/LCA são atrativos pelo benefício fiscal.","cdb, diferença, entre, isenção, lca, lci, prática, tributação",,,"isenção, tributação",,,
"Multimercados realmente diversificam, ou só replicam bolsa e juros?","Orientar o cliente da seguinte forma:• Fundos multimercado buscam diversificação aplicando em diferentes classes de ativos (juros, câmbio, ações, exterior).• O nível de diversificação depende da estratégia e do gestor.• Alguns multimercados replicam bolsa e juros, outros de fato trazem proteção e alternativas.","bolsa, diversificam, diversificação, estratégia, fundos multimercado, juros, multimercados, realmente, replicam, risco",,,"cálculo juros, diversificação, estratégia, fundos multimercado, risco",,,
Como funciona a tributação em fundos de longo prazo?,"Orientar o cliente da seguinte forma:• Fundos de longo prazo sofrem tributação de IR regressivo: 22,5% até 180 dias e vai caindo até 15% acima de 720 dias.• Há cobrança de come-cotas em maio e novembro, com antecipação de parte do IR.","come-cotas, funciona, fundos, fundos longo prazo, longo, prazo, tributação",,,"IR, come-cotas, fundos longo prazo",,,
Operações em bolsa com prejuízo compensam automaticamente no IR?,"Orientar o cliente da seguinte forma:• Não, a compensação não é automática.• O investidor precisa informar os prejuízos acumulados na declaração do IR.• Só assim poderá abater ganhos futuros do mesmo tipo de operação.","automaticamente, bolsa, compensam, compensação IR, operações, prejuízo, prejuízo bolsa",,,"compensação IR, compensação ir, prejuízo bolsa",,,
O que acontece se eu esquecer de declarar uma aplicação pequena?,Orientar o cliente da seguinte forma:• Mesmo valores pequenos precisam ser declarados se obrigatórios por regra.• O esquecimento pode gerar inconsistências no cruzamento de dados da Receita.• O cliente pode retificar a declaração para corrigir.,"acontece, aplicação, declarar, declaração, esquecer, omissão, pequena",,,"IR, declaração, omissão",,,
O que é renda fixa?,"Renda fixa é um tipo de investimento em que as regras de rentabilidade são conhecidas no momento da aplicação.

Exemplos: Tesouro Direto, CDB, LCI, LCA.

Pode ser prefixada (taxa definida) ou pós-fixada (atrelada a Selic, CDI, inflação).","fixa, renda",,,,,,
O que é renda variável?,"Renda variável são investimentos em que o retorno não é garantido e pode oscilar conforme o mercado.

Exemplos: ações, fundos imobiliários, ETFs.

Potencial de ganho maior, mas com risco elevado.","RENDA VARIAVEL, renda, variável",,,"RENDA VARIAVEL, renda variavel",,,
"Qual a diferença entre Tesouro Selic, Prefixado e IPCA?","Tesouro Selic acompanha a taxa Selic, indicado para reserva de emergência.

Tesouro Prefixado tem taxa fixa, bom se a Selic cair no futuro.

Tesouro IPCA protege contra inflação, pois paga IPCA + taxa fixa.","diferença, entre, ipca, prefixado, selic, tesouro",,,,,,
O que é liquidez?,"Liquidez significa a facilidade de transformar o investimento em dinheiro disponível.

Exemplo: Tesouro Selic tem liquidez diária; imóveis têm liquidez baixa.","facilidade, liquidez, prazo, resgate",,,"facilidade, prazo, resgate",,,
O que é diversificação?,"Diversificação é distribuir os investimentos em diferentes tipos de ativos para reduzir riscos. “Não colocar todos os ovos na mesma cesta”.

Combina renda fixa, renda variável e até ativos no exterior.","carteira, diversificação, proteção, risco",,,"carteira, proteção, risco",,,
O que significa perfil de investidor?,"Perfil mostra o nível de tolerância ao risco do investidor: Conservador, Moderado ou Arrojado.

É definido a partir de questionário (suitability) e ajuda a indicar os produtos mais adequados.","arrojado, conservador, investidor, moderado, perfil, perfil investidor, significa",,,"arrojado, conservador, moderado, perfil investidor",,,
O que é reserva de emergência?,"Valor guardado para imprevistos, equivalente a 6 a 12 meses de gastos mensais.

Deve ficar em investimentos seguros e líquidos, como Tesouro Selic ou CDB com liquidez diária.","emergência, liquidez, reserva, reserva emergência, segurança",,,"liquidez, reserva emergência, segurança",,,
O que são fundos de investimento?,"Fundos reúnem recursos de vários investidores para serem aplicados de forma conjunta.

Cada cotista possui uma fração do fundo.

Existem fundos de renda fixa, multimercado, ações e imobiliários.","cotas, fundos, gestores, investimento, multimercado",,,"carteira coletiva, cotas, fundos geridos, gestores, multimercado, pool de investimentos",,,
O que são juros compostos?,"Definição: É o regime de capitalização em que os juros incidem não apenas sobre o valor inicial investido, mas também sobre os juros acumulados ao longo do tempo. Esse efeito de “juros sobre juros” potencializa o crescimento de investimentos e também o peso das dívidas. Tributação: Em renda fixa, incide IR regressivo (15%-22,5%), via IRPF no resgate ou via DARF complementar.","compostos, juros, longo prazo, rentabilidade",,,"acúmulo, capitalização, cet, crescimento exponencial, longo prazo, rentabilidade",,,
"Qual a diferença entre curto, médio e longo prazo?","Curto prazo: até 2 anos, indicado para liquidez e segurança.

Médio prazo: entre 2 e 5 anos, para objetivos planejados.

Longo prazo: acima de 5 anos, ideal para aposentadoria ou grandes projetos.","curto, diferença, entre, investimentos, longo, médio, objetivos, prazo",,,"horizonte de tempo, investimentos, metas financeiras, objetivos, planejamento",,,
O que é CDI?,"Definição: O Certificado de Depósito Interbancário é a taxa de referência usada nos empréstimos entre bancos. Ele funciona como um “termômetro” da economia, guiando a remuneração de diversos produtos de renda fixa, como CDBs e fundos DI. Normalmente acompanha de perto a Selic. Tributação: 15%-22,5% sobre rendimentos, via IRPF no resgate ou compensado via DARF.",cdi,,,"benchmark renda fixa, certificado depósito interbancário, taxa interbancária",,,
Qual a diferença entre Selic e CDI?,"Selic é a taxa básica de juros da economia definida pelo Banco Central.

CDI é a taxa praticada entre bancos.

Ambas costumam andar próximas, mas a Selic é política monetária e o CDI é referência de mercado.","cdi, diferença, entre, selic, taxa juros",,,"benchmark, taxa básica, taxa interbancária, taxa juros",,,
O que é IBOVESPA?,"É o principal índice da Bolsa brasileira, que reúne as ações mais negociadas e representativas do mercado.

Serve como termômetro da renda variável no Brasil.","bolsa, ibovespa, índice",,,"b3, bolsa, mercado acionário, índice, índice ações",,,
O que é um FII?,"Fundos Imobiliários permitem investir em imóveis por meio da bolsa, recebendo aluguéis ou participando da valorização dos ativos.

São negociados em cotas como ações.","fii, fundos imobiliários, imóveis",,,"fundos de papel, fundos de tijolo, fundos imobiliários, imóveis, renda passiva",,,
O que é alocação de ativos?,"Alocação é a estratégia de distribuir investimentos entre diferentes classes (renda fixa, variável, exterior) conforme perfil e objetivos, buscando equilíbrio entre risco e retorno.","alocar, alocação, alocação ativos, ativos",,,"alocar, alocação ativos, distribuição, mix de ativos, portfólio, valor em conta",,,
O que são dividendos?,"Dividendos são parcelas do lucro das empresas distribuídas aos acionistas, geralmente em dinheiro.

Representam uma forma de renda passiva para quem investe em ações.","ações, dividendos, lucros distribuídos, proventos, renda passiva",,,"ações, distribuição de resultados, lucros distribuídos, participação nos lucros, proventos, renda passiva, rendimento acionário",,,
O que é day trade?,"Day trade é a compra e venda de ativos no mesmo dia, buscando ganhos rápidos com variação de preço.

Exige alto conhecimento e tem risco elevado.","day, especulação, operações curtas, renda variável, trade, trading",,,"compra e venda no mesmo dia, especulação, negociação intradiária, operações curtas, operações rápidas, renda variável, trading",,,
O que é swing trade?,Swing trade é uma estratégia de curto/médio prazo em que o investidor mantém ativos por dias ou semanas para capturar movimentos de mercado.,"análise técnica, especulação moderada, operações prazo curto, swing, trade",,,"análise técnica, especulação moderada, estratégia de oscilação, negociação de tendência, operações intermediárias, operações prazo curto",,,
O que é buy and hold?,"Buy and hold é uma estratégia de longo prazo em que o investidor compra ações ou fundos e mantém por anos, focando no crescimento e dividendos.","and, buy, dividendos, estratégia conservadora, hold, longo prazo, valorização",,,"acumulação de capital, comprar e manter, dividendos, estratégia conservadora, investimento de paciência, longo prazo, valorização",,,
O que é carteira recomendada?,"Carteira recomendada é uma lista de ativos sugerida por analistas ou corretoras, com base em estudos de mercado, para orientar investimentos.","carteira, estratégia guiada, recomendada, relatórios de análise, seleção de ativos",,,"curadoria financeira, estratégia guiada, lista de investimentos, portfólio sugerido, relatórios de análise, seleção de ativos",,,
O que é mercado futuro?,"Mercado futuro envolve contratos padronizados para compra ou venda de ativos em data futura.

Usado para hedge ou especulação.","contratos futuros, derivativos, especulação, futuro, mercado, proteção cambial",,,"contratos futuros, derivativos, especulação, mercado derivativo, negociação antecipada, operações futuras, proteção cambial",,,
O que é mercado primário e secundário?,"Primário é quando ativos são emitidos pela primeira vez (ex.: IPO).

Secundário é onde os ativos já emitidos são negociados entre investidores.","bolsa, ipo, mercado, mercado secundário, negociações, primário, secundário",,,"bolsa, emissão inicial, ipo, mercado de revenda, mercado secundário, negociação entre investidores, negociações",,,
O que é IPO?,IPO (Oferta Pública Inicial) é quando uma empresa abre capital na bolsa e vende suas ações pela primeira vez ao público.,"abertura capital, ações, bolsa, ipo, oferta inicial",,,"abertura capital, ações, bolsa, lançamento na bolsa, listagem inicial, oferta inicial, oferta primária",,,
O que é debênture?,"[
  {""title"": ""Definição"", ""content"": ""Debêntures são títulos de dívida emitidos por empresas para captar recursos diretamente com investidores, em troca de uma remuneração acordada (juros).""},
  {""title"": ""Tributação"", ""content"": ""Incide imposto de renda de 15% a 22,5% sobre os rendimentos, conforme o prazo da aplicação.""}
]
","captação de recursos, debentures, debênture, dívida corporativa, renda fixa privada",,,"captação de recursos, debentures, dívida corporativa, empréstimo a empresa, obrigação corporativa, renda fixa privada, títulos privados",,,
O que é private equity?,"[
  {""title"": ""Definição"", ""content"": ""Private equity é um tipo de investimento em empresas privadas que não possuem ações negociadas em bolsa, geralmente com foco em expansão, reestruturação ou valorização para futura venda.""},
  {""title"": ""Tributação"", ""content"": ""Há incidência de 15% sobre o ganho de capital no momento da saída do investimento.""}
]
","capital privado, equity, fundos de investimento, participação societária, private",,,"aporte estratégico, capital fechado, capital privado, fundos de investimento, investimentos privados, participação societária",,,
O que é câmbio?,"[
  {""title"": ""Definição"", ""content"": ""Operações de câmbio envolvem a compra e venda de moedas estrangeiras, geralmente para turismo, comércio exterior ou investimentos internacionais.""},
  {""title"": ""Tributação"", ""content"": ""Compra e venda direta de moeda estrangeira entre pessoas físicas não gera tributação.""}
]
","câmbio, dólar, euro, moedas estrangeiras, taxa de cambio",,,"dólar, euro, mercado cambial, moedas estrangeiras, negociação de moedas, taxa de cambio, troca de divisas",,,
O que é hedge?,"[
  {""title"": ""Definição"", ""content"": ""Operações de câmbio envolvem a compra e venda de moedas estrangeiras, geralmente para turismo, comércio exterior ou investimentos internacionais.""},
  {""title"": ""Tributação"", ""content"": ""Ganhos obtidos nessas operações são tributados em 15% pelo imposto de renda.""}
]
","contratos futuros, derivativos, gestão risco, hedge, proteção",,,"blindagem de carteira, cobertura financeira, contratos futuros, derivativos, gestão risco, proteção, proteção cambial",,,
O que é índice S&P 500?,"[
  {""title"": ""Definição"", ""content"": ""O índice S&P 500 acompanha o desempenho das 500 maiores empresas listadas nas bolsas dos Estados Unidos, sendo usado como referência global para medir a performance do mercado americano.""},
  {""title"": ""Tributação"", ""content"": ""Investimentos que replicam o índice (como ETFs) são tributados em 15% sobre os ganhos.""}
]
","benchmark global, bolsa EUA, empresas listadas, s&p500, índice americano",,,"benchmark global, bolsa eua, empresas listadas, mercado americano, principal referência, s&p500, índice americano, índice internacional",,,
O que é benchmark?,"[
  {""title"": ""Definição"", ""content"": ""Um benchmark é um índice ou referência usado para avaliar o desempenho de investimentos ou fundos, comparando-os a um padrão de mercado.""},
  {""title"": ""Tributação"", ""content"": ""Não há tributação direta sobre o índice; os impostos incidem apenas sobre os ativos que o utilizam como referência.""}
]
","benchmark, desempenho, mercado, referência, índice comparativo",,,"desempenho, indicador de comparação, mercado, parâmetro de rentabilidade, referência, índice comparativo, índice guia",,,
O que é taxa de administração?,"[
  {""title"": ""Definição"", ""content"": ""A taxa de administração é a cobrança feita por gestores de fundos de investimento para remunerar os serviços de gestão, custódia e operação do fundo.""},
  {""title"": ""Tributação"", ""content"": ""A taxa em si não é tributada, mas os rendimentos do fundo sofrem tributação entre 15% e 22,5%.""}
]
","administração, custos fundos, despesas financeiras, gestão profissional, taxa, taxa administração",,,"custo operacional, custos fundos, despesas financeiras, gestão profissional, tarifa de gestão, taxa administração, taxa de custódia indireta",,,
O que é taxa de performance?,"[
  {""title"": ""Definição"", ""content"": ""A taxa de performance é uma remuneração adicional paga ao gestor de um fundo quando ele supera o rendimento de um índice de referência (benchmark).""},
  {""title"": ""Tributação"", ""content"": ""A taxa não é tributada; apenas os rendimentos obtidos pelo investidor são tributados de 15% a 22,5%.""}
]
","fundos, incentivo gestor, performance, rentabilidade extra, taxa, taxa performance",,,"fundos, incentivo gestor, prêmio de resultado, remuneração variável, rentabilidade extra, taxa adicional, taxa performance",,,
O que é custódia?,"[
  {""title"": ""Definição"", ""content"": ""A taxa de custódia é cobrada por instituições financeiras pela guarda, controle e movimentação dos ativos do investidor.""},
  {""title"": ""Tributação"", ""content"": ""A taxa em si não sofre tributação, mas os rendimentos dos investimentos seguem a tributação aplicável.""}
]
","controle financeiro, corretoras, custódia, guarda ativos",,,"administração de investimentos, controle financeiro, corretoras, depósito de ativos, guarda ativos, registro de valores",,,
O que é home broker?,"[
  {""title"": ""Definição"", ""content"": ""Home broker é uma plataforma online que permite ao investidor comprar e vender ações e outros ativos diretamente pela internet.""},
  {""title"": ""Tributação"", ""content"": ""Os ganhos de capital nas operações realizadas são tributados em 15%.""}
]
","bolsa digital, broker, corretora, home, plataforma investimentos",,,"bolsa digital, corretora, ferramenta online, plataforma de trade, plataforma investimentos, sistema de negociação",,,
O que é taxa Selic?,"[
  {""title"": ""Definição"", ""content"": ""A taxa Selic é a taxa básica de juros da economia brasileira, definida pelo Banco Central, que influencia todos os outros juros do mercado.""},
  {""title"": ""Tributação"", ""content"": ""Investimentos atrelados à Selic são tributados de 15% a 22,5% sobre os rendimentos.""}
]
","banco central, juros básicos, política monetária, selic, taxa",,,"banco central, juros básicos, meta Selic, política monetária, taxa de referência, índice de juros",,,
O que é mercado de capitais?,"Mercado de capitais é onde empresas captam recursos emitindo ações e títulos, e investidores aplicam seu dinheiro buscando retorno.","ações, bolsa valores, capitais, mercado, mercado capitais, títulos",,,"ambiente de captação, ações, bolsa valores, mercado capitais, mercado de investimentos, mercado financeiro, títulos",,,
O que é volatilidade?,"[
  {""title"": ""Definição"", ""content"": ""Volatilidade é a medida da variação de preço de um ativo ao longo do tempo, refletindo o nível de risco associado ao investimento.""},
  {""title"": ""Tributação"", ""content"": ""Não é tributada diretamente; a tributação ocorre sobre os ganhos obtidos.""}
]
","oscilações, risco de mercado, variação preço, volatilidade",,,"flutuação, instabilidade, oscilações, risco de mercado, variação financeira, variação preço",,,
O que é liquidez diária?,"[
  {""title"": ""Definição"", ""content"": ""Liquidez imediata representa a capacidade de transformar um investimento em dinheiro de forma rápida, geralmente em um dia útil.""},
  {""title"": ""Tributação"", ""content"": ""Aplicações em renda fixa com liquidez imediata seguem a tabela regressiva de 22,5% a 15%.""}
]
","disponibilidade, diária, fundos curtos, liquidez, resgate imediato",,,"acesso ao capital, conversão imediata, disponibilidade, fundos curtos, resgate imediato, saque rápido",,,
